X,Y,Group
0.772,0.463,C1
0.693,0.006,C1
0.641,0.072,C1
0.994,0.164,C1
0.854,0.368,C1
0.993,0.584,C1
0.862,0.335,C1
0.594,0.466,C1
0.289,0.074,C1
0.807,0.48,C1
0.963,0.759,C1
0.902,0.137,C1
0.691,0.397,C1
0.795,0.225,C1
0.775,0.139,C1
0.931,0.568,C1
0.758,0.065,C1
0.623,0.14,C1
0.318,0.055,C1
0.854,0.51,C1
0.451,0.054,C1
0.415,0.101,C1
0.414,0.072,C1
0.992,0.625,C1
0.917,0.476,C1
0.845,0.26,C1
0.83,0.642,C1
0.466,0.104,C1
0.266,0.099,C1
0.973,0.026,C1
0.921,0.675,C1
0.442,0.009,C1
0.635,0.002,C1
0.55,0.263,C1
0.813,0.676,C1
0.762,0.527,C1
0.82,0.703,C1
0.753,0.008,C1
0.895,0.452,C1
0.888,0.037,C1
0.665,0.39,C1
0.491,0.012,C1
0.957,0.044,C1
0.274,0.055,C1
0.815,0.355,C1
0.476,0.197,C1
0.925,0.435,C1
0.812,0.238,C1
0.794,0.354,C1
0.844,0.535,C1
0.507,0.019,C1
0.629,0.296,C1
0.71,0.147,C1
0.848,0.37,C1
0.475,0.104,C1
0.22,0.034,C1
0.73,0.59,C1
0.613,0.035,C1
0.8,0.135,C1
0.812,0.461,C1
0.993,0.678,C1
0.668,0.286,C1
0.659,0.243,C1
0.37,0.078,C1
0.759,0.02,C1
0.85,0.362,C1
0.985,0.697,C1
0.893,0.641,C1
0.886,0.644,C1
0.543,0.219,C1
0.594,0.16,C1
0.653,0.119,C1
0.991,0.743,C1
0.657,0.225,C1
0.25,0.043,C1
0.688,0.447,C1
0.131,0.025,C1
0.63,0.097,C1
0.467,0.229,C1
0.72,0.397,C1
0.6,0.137,C1
0.839,0.569,C1
0.888,0.53,C1
0.954,0.163,C1
0.437,0.233,C1
0.625,0.44,C1
0.914,0.669,C1
0.609,0.419,C1
0.366,0.121,C1
0.631,0.521,C1
0.935,0.144,C1
0.301,0.193,C1
0.995,0.108,C1
0.948,0.308,C1
0.721,0.363,C1
0.242,0.119,C1
0.549,0.193,C1
0.954,0.018,C1
0.585,0.407,C1
0.872,0.608,C1
0.648,0.422,C1
0.888,0.385,C1
0.71,0.109,C1
0.328,0.139,C1
0.415,0.304,C1
0.272,0.116,C1
0.614,0.161,C1
0.271,0.157,C1
0.254,0.04,C1
0.563,0.276,C1
0.949,0.12,C1
0.891,0.761,C1
0.673,0.373,C1
0.521,0.242,C1
0.569,0.144,C1
0.462,0.341,C1
0.822,0.185,C1
0.786,0.282,C1
0.98,0.095,C1
0.439,0.21,C1
0.806,0.117,C1
0.409,0.296,C1
0.999,0.256,C1
0.807,0.202,C1
0.843,0.105,C1
0.339,0.184,C1
0.663,0.466,C1
0.583,0.165,C1
0.246,0.118,C1
0.531,0.005,C1
0.51,0.016,C1
0.498,0.137,C1
0.954,0.04,C1
0.816,0.526,C1
0.885,0.553,C1
0.833,0.72,C1
0.8,0.64,C1
0.217,0.083,C1
0.445,0.339,C1
0.448,0.13,C1
0.502,0.317,C1
0.641,0.468,C1
0.65,0.215,C1
0.709,0.413,C1
0.729,0.555,C1
0.534,0.192,C1
0.455,0.269,C1
0.668,0.511,C1
0.531,0.384,C1
0.266,0.028,C1
0.532,0.26,C1
0.617,0.438,C1
0.864,0.596,C1
0.747,0.322,C1
0.174,0.02,C1
0.661,0.072,C1
0.657,0.516,C1
0.53,0.388,C1
0.875,0.16,C1
0.824,0.374,C1
0.729,0.487,C1
0.271,0.03,C1
0.708,0.33,C1
0.703,0.066,C1
0.594,0.235,C1
0.887,0.204,C1
0.265,0.108,C1
0.892,0.632,C1
0.913,0.099,C1
0.902,0.161,C1
0.235,0.075,C1
0.549,0.346,C1
0.986,0.732,C1
0.62,0.166,C1
0.785,0.542,C1
0.954,0.752,C1
0.939,0.311,C1
0.659,0.147,C1
0.867,0.529,C1
0.289,0.097,C1
0.873,0.555,C1
0.962,0.35,C1
0.601,0.241,C1
0.515,0.058,C1
0.403,0.237,C1
0.847,0.613,C1
0.964,0.081,C1
0.576,0.314,C1
0.49,0.389,C1
0.295,0.066,C1
0.654,0.395,C1
0.892,0.755,C1
0.623,0.311,C1
0.674,0.165,C1
0.949,0.278,C1
0.701,0.271,C1
0.352,0.23,C1
0.924,0.543,C1
0.821,0.283,C1
0.919,0.81,C1
0.283,0.094,C1
0.961,0.822,C1
0.728,0.427,C1
0.857,0.698,C1
0.536,0.275,C1
0.613,0.042,C1
0.881,0.11,C1
0.56,0,C1
0.698,0.217,C1
0.916,0.705,C1
0.618,0.215,C1
0.728,0.217,C1
0.542,0.308,C1
0.909,0.056,C1
0.802,0.385,C1
0.397,0.116,C1
0.848,0.478,C1
0.832,0.678,C1
0.719,0.314,C1
0.881,0.508,C1
0.322,0.001,C1
0.662,0.07,C1
0.866,0.083,C1
0.686,0.226,C1
0.312,0.087,C1
0.377,0.042,C1
0.399,0.253,C1
0.969,0.05,C1
0.967,0.686,C1
0.715,0.504,C1
0.757,0.138,C1
0.581,0.416,C1
0.593,0.287,C1
0.268,0.08,C1
0.531,0.365,C1
0.785,0.178,C1
0.87,0.061,C1
0.919,0.529,C1
0.421,0.298,C1
0.868,0.341,C1
0.926,0.465,C1
0.882,0.083,C1
0.736,0.613,C1
0.95,0.396,C1
0.464,0.355,C1
0.577,0.172,C1
0.887,0.489,C1
0.578,0.249,C1
0.597,0.321,C1
0.892,0.539,C1
0.498,0.875,C2
0.74,0.852,C2
0.754,0.843,C2
0.063,0.947,C2
0.442,0.653,C2
0.501,0.488,C2
0.27,0.188,C2
0.599,0.713,C2
0.969,0.919,C2
0.325,0.842,C2
0.116,0.936,C2
0.575,0.845,C2
0.798,0.716,C2
0.244,0.16,C2
0.36,0.897,C2
0.838,0.99,C2
0.119,0.615,C2
0.012,0.866,C2
0.283,0.392,C2
0.28,0.387,C2
0.19,0.874,C2
0.026,0.363,C2
0.864,0.946,C2
0.951,0.96,C2
0.138,0.513,C2
0.478,0.948,C2
0.63,0.704,C2
0.7,0.819,C2
0.066,0.377,C2
0.663,0.784,C2
0.396,0.314,C2
0.15,0.676,C2
0.725,0.78,C2
0.658,0.736,C2
0.416,0.451,C2
0.205,0.675,C2
0.322,0.951,C2
0.762,0.995,C2
0.112,0.447,C2
0.471,0.379,C2
0.814,0.937,C2
0.073,0.566,C2
0.048,0.601,C2
0.088,0.893,C2
0.419,0.809,C2
0.582,0.952,C2
0.831,0.852,C2
0.014,0.127,C2
0.012,0.969,C2
0.111,0.251,C2
0.471,0.927,C2
0.259,0.244,C2
0.05,0.479,C2
0.494,0.522,C2
0.201,0.782,C2
0.646,0.931,C2
0.438,0.369,C2
0.938,0.974,C2
0.422,0.55,C2
0.456,0.787,C2
0.231,0.623,C2
0.695,0.967,C2
0.557,0.5,C2
