X,Y,Group
0.89,0.871,C1
0.693,0.006,C1
0.641,0.072,C1
0.994,0.164,C1
0.236,0.13,C1
0.709,0.735,C1
0.993,0.584,C1
0.594,0.466,C1
0.289,0.074,C1
0.934,0.543,C1
0.963,0.759,C1
0.902,0.137,C1
0.691,0.397,C1
0.795,0.225,C1
0.025,0.058,C1
0.478,0.396,C1
0.758,0.065,C1
0.216,0.226,C1
0.318,0.055,C1
0.887,0.204,C1
0.82,0.269,C1
0.415,0.101,C1
0.414,0.072,C1
0.931,0.568,C1
0.623,0.14,C1
0.917,0.476,C1
0.845,0.26,C1
0.466,0.104,C1
0.266,0.099,C1
0.858,0.799,C1
0.963,0.645,C1
0.442,0.009,C1
0.799,0.779,C1
0.762,0.527,C1
0.561,0.63,C1
0.55,0.263,C1
0.128,0.157,C1
0.753,0.008,C1
0.895,0.452,C1
0.974,0.562,C1
0.665,0.39,C1
0.762,0.478,C1
0.972,0.411,C1
0.274,0.055,C1
0.815,0.355,C1
0.421,0.298,C1
0.81,0.836,C1
0.812,0.238,C1
0.794,0.354,C1
0.572,0.4,C1
0.754,0.854,C1
0.629,0.296,C1
0.71,0.147,C1
0.507,0.019,C1
0.475,0.104,C1
0.22,0.034,C1
0.174,0.02,C1
0.613,0.035,C1
0.352,0.338,C1
0.993,0.709,C1
0.311,0.078,C1
0.668,0.286,C1
0.812,0.461,C1
0.788,0.834,C1
0.532,0.26,C1
0.435,0.493,C1
0.985,0.697,C1
0.893,0.641,C1
0.886,0.644,C1
0.881,0.508,C1
0.51,0.21,C1
0.653,0.119,C1
0.759,0.02,C1
0.657,0.225,C1
0.242,0.119,C1
0.688,0.447,C1
0.954,0.752,C1
0.785,0.542,C1
0.467,0.229,C1
0.322,0.001,C1
0.6,0.137,C1
0.594,0.124,C1
0.489,0.515,C1
0.954,0.163,C1
0.894,0.032,C1
0.89,0.986,C1
0.914,0.669,C1
0.609,0.419,C1
0.411,0.323,C1
0.272,0.116,C1
0.935,0.144,C1
0.301,0.193,C1
0.734,0.004,C1
0.948,0.308,C1
0.721,0.363,C1
0.366,0.121,C1
0.549,0.193,C1
0.954,0.018,C1
0.585,0.407,C1
0.405,0.483,C1
0.648,0.422,C1
0.32,0.343,C1
0.954,0.04,C1
0.95,0.709,C1
0.924,0.543,C1
0.984,0.964,C1
0.888,0.385,C1
0.72,0.397,C1
0.881,0.11,C1
0.631,0.521,C1
0.619,0.585,C1
0.891,0.761,C1
0.673,0.373,C1
0.737,0.769,C1
0.521,0.538,C1
0.254,0.04,C1
0.822,0.185,C1
0.786,0.282,C1
0.98,0.095,C1
0.439,0.21,C1
0.854,0.368,C1
0.409,0.296,C1
0.801,0.408,C1
0.703,0.568,C1
0.843,0.105,C1
0.231,0.24,C1
0.239,0.271,C1
0.077,0.101,C1
0.246,0.118,C1
0.807,0.202,C1
0.833,0.72,C1
0.498,0.137,C1
0.448,0.13,C1
0.583,0.165,C1
0.885,0.553,C1
0.39,0.45,C1
0.37,0.078,C1
0.217,0.083,C1
0.445,0.339,C1
0.661,0.072,C1
0.502,0.317,C1
0.888,0.53,C1
0.65,0.215,C1
0.813,0.676,C1
0.355,0.276,C1
0.534,0.192,C1
0.666,0.53,C1
0.455,0.269,C1
0.413,0.478,C1
0.266,0.028,C1
0.63,0.547,C1
0.8,0.135,C1
0.864,0.596,C1
0.747,0.322,C1
0.629,0.271,C1
0.618,0.626,C1
0.372,0.303,C1
0.53,0.388,C1
0.875,0.16,C1
0.548,0.149,C1
0.468,0.279,C1
0.594,0.16,C1
0.708,0.33,C1
0.948,0.007,C1
0.594,0.235,C1
0.729,0.487,C1
0.265,0.108,C1
0.565,0.487,C1
0.913,0.099,C1
0.902,0.161,C1
0.274,0.283,C1
0.63,0.097,C1
0.986,0.732,C1
0.62,0.166,C1
0.937,0.866,C1
0.892,0.632,C1
0.752,0.381,C1
0.659,0.147,C1
0.992,0.715,C1
0.867,0.529,C1
0.806,0.117,C1
0.962,0.35,C1
0.601,0.241,C1
0.515,0.058,C1
0.403,0.237,C1
0.88,0.89,C1
0.964,0.081,C1
0.847,0.613,C1
0.171,0.155,C1
0.172,0.125,C1
0.49,0.389,C1
0.654,0.395,C1
0.289,0.097,C1
0.674,0.165,C1
0.892,0.755,C1
0.701,0.271,C1
0.352,0.23,C1
0.875,0.647,C1
0.821,0.283,C1
0.919,0.81,C1
0.283,0.094,C1
0.961,0.822,C1
0.728,0.427,C1
0.686,0.756,C1
0.536,0.275,C1
0.395,0.445,C1
0.625,0.289,C1
0.56,0,C1
0.698,0.217,C1
0.916,0.705,C1
0.618,0.215,C1
0.295,0.066,C1
0.542,0.308,C1
0.576,0.314,C1
0.802,0.385,C1
0.397,0.116,C1
0.198,0.128,C1
0.832,0.678,C1
0.546,0.376,C1
0.803,0.834,C1
0.892,0.539,C1
0.662,0.07,C1
0.719,0.314,C1
0.633,0.702,C1
0.312,0.087,C1
0.405,0.073,C1
0.399,0.253,C1
0.969,0.05,C1
0.967,0.686,C1
0.727,0.787,C1
0.257,0.354,C1
0.757,0.138,C1
0.593,0.287,C1
0.268,0.08,C1
0.531,0.365,C1
0.785,0.178,C1
0.889,0.424,C1
0.404,0.504,C1
0.514,0.236,C1
0.868,0.341,C1
0.926,0.465,C1
0.882,0.083,C1
0.775,0.139,C1
0.95,0.396,C1
0.328,0.139,C1
0.577,0.172,C1
0.743,0.076,C1
0.597,0.321,C1
0.02,0.063,C1
0.872,0.608,C1
0.18,0.329,C2
0.625,0.996,C2
0.44,0.766,C2
0.435,0.931,C2
0.279,0.812,C2
0.571,0.991,C2
0.042,0.201,C2
0.191,0.646,C2
0.163,0.896,C2
0.827,0.938,C2
0.511,0.988,C2
0.565,0.587,C2
0.001,0.231,C2
0.144,0.695,C2
0.63,0.704,C2
0.083,0.585,C2
0.245,0.434,C2
0.677,0.846,C2
0.578,0.597,C2
0.249,0.452,C2
0.615,0.957,C2
0.032,0.844,C2
0.146,0.223,C2
0.472,0.811,C2
0.066,0.42,C2
0.027,0.31,C2
0.536,0.444,C2
0.088,0.422,C2
0.64,0.564,C2
0.026,0.705,C2
0.322,0.951,C2
0.454,0.731,C2
