X,Y,Group
0.958,0.05,C1
0.525,0.239,C1
0.785,0.494,C1
0.132,0.005,C1
0.495,0.185,C1
0.565,0.448,C1
0.886,0.518,C1
0.686,0.387,C1
0.492,0.142,C1
0.421,0.107,C1
0.713,0.307,C1
0.963,0.41,C1
0.701,0.153,C1
0.663,0.38,C1
0.664,0.27,C1
0.707,0.3,C1
0.74,0.429,C1
0.627,0.214,C1
0.995,0.105,C1
0.166,0.038,C1
0.528,0.162,C1
0.425,0.307,C1
0.665,0.419,C1
0.692,0.521,C1
0.753,0.413,C1
0.548,0.359,C1
0.698,0.02,C1
0.861,0.413,C1
0.939,0.233,C1
0.556,0.233,C1
0.984,0.631,C1
0.977,0.662,C1
0.844,0.379,C1
0.463,0.277,C1
0.974,0.259,C1
0.76,0.291,C1
0.895,0.551,C1
0.836,0.413,C1
0.956,0.376,C1
0.692,0.31,C1
0.34,0.117,C1
0.786,0.118,C1
0.847,0.248,C1
0.891,0.009,C1
0.77,0.108,C1
0.883,0.427,C1
0.948,0.828,C1
0.835,0.281,C1
0.743,0.635,C1
0.515,0.356,C2
0.402,0.282,C1
0.967,0.053,C1
0.811,0.248,C1
0.867,0.134,C1
0.822,0.662,C1
0.732,0.53,C1
0.763,0.32,C1
0.524,0.33,C2
0.795,0.425,C1
0.595,0.08,C1
0.24,0.002,C1
0.449,0.266,C1
0.639,0.529,C1
0.801,0.045,C1
0.41,0.208,C1
0.993,0.408,C1
0.98,0.838,C1
0.447,0.097,C1
0.885,0.16,C1
0.793,0.179,C1
0.757,0.246,C1
0.928,0.367,C1
0.976,0.662,C1
0.567,0.079,C1
0.594,0.415,C1
0.557,0.135,C1
0.803,0.32,C1
0.614,0.272,C1
0.958,0.358,C1
0.703,0.221,C1
0.476,0.375,C2
0.829,0.265,C1
0.889,0.499,C1
0.839,0.576,C1
0.17,0.01,C1
0.583,0.051,C1
0.876,0.241,C1
0.684,0.448,C1
0.635,0.447,C1
0.528,0.11,C1
0.926,0.1,C1
0.612,0.207,C1
0.419,0.16,C1
0.412,0.078,C1
0.69,0.408,C1
0.668,0.292,C1
0.616,0.132,C1
0.663,0.241,C1
0.853,0.186,C1
0.41,0.225,C1
0.931,0.786,C1
0.8,0.679,C1
0.82,0.439,C1
0.539,0.138,C1
0.747,0.636,C1
0.226,0.056,C1
0.926,0.806,C1
0.967,0.55,C1
0.51,0.171,C1
0.956,0.509,C1
0.987,0.464,C1
0.976,0.466,C1
0.963,0.741,C1
0.943,0.734,C1
0.867,0.01,C1
0.443,0.01,C1
0.951,0.259,C1
0.866,0.328,C1
0.867,0.407,C1
0.38,0.1,C1
0.335,0.134,C1
0.494,0.195,C1
0.625,0.392,C1
0.586,0.07,C1
0.539,0.129,C1
0.724,0.423,C1
0.918,0.134,C1
0.227,0.014,C1
0.437,0.157,C1
0.879,0.565,C1
0.886,0.076,C1
0.78,0.522,C1
0.815,0.253,C1
0.755,0.5,C1
0.627,0.401,C1
0.78,0.507,C1
0.85,0.022,C1
0.796,0.347,C1
0.443,0.016,C1
0.766,0.427,C1
0.922,0.272,C1
0.969,0.06,C1
0.845,0.476,C1
0.523,0.153,C1
0.689,0.344,C1
0.788,0.381,C1
0.619,0.247,C1
0.879,0.637,C1
0.724,0.153,C1
0.894,0.766,C1
0.896,0.705,C1
0.354,0.197,C1
0.932,0.528,C1
0.644,0.381,C1
0.645,0.291,C1
0.521,0.306,C1
0.563,0.43,C1
0.993,0.433,C1
0.852,0.72,C1
0.625,0.328,C1
0.866,0.764,C1
0.886,0.686,C1
0.647,0.384,C1
0.666,0.12,C1
0.554,0.233,C1
0.839,0.395,C1
0.976,0.596,C1
0.965,0.509,C1
0.72,0.055,C1
0.642,0.342,C1
0.871,0.183,C1
0.508,0.313,C2
0.9,0.397,C1
0.984,0.515,C1
0.923,0.598,C1
0.754,0.598,C1
0.66,0.006,C1
0.203,0.055,C1
0.673,0.521,C1
0.934,0.477,C1
0.891,0.477,C1
0.666,0.294,C1
0.467,0.225,C1
0.267,0.1,C1
0.774,0.415,C1
0.347,0.044,C1
0.502,0.271,C2
0.511,0.265,C2
0.97,0.7,C1
0.852,0.469,C1
0.949,0.575,C1
0.982,0.281,C1
0.532,0.426,C1
0.451,0.31,C1
0.979,0.327,C1
0.678,0.013,C1
0.872,0.624,C1
0.323,0.093,C1
0.742,0.325,C1
0.317,0.082,C1
0.33,0.076,C1
0.733,0.435,C1
0.675,0.406,C1
0.544,0.339,C1
0.813,0.655,C1
0.922,0.69,C1
0.907,0.519,C1
0.751,0.644,C1
0.71,0.399,C1
0.829,0.124,C1
0.842,0.174,C1
0.617,0.22,C1
0.977,0.698,C1
0.845,0.649,C1
0.821,0.576,C1
0.708,0.557,C1
0.629,0.451,C1
0.979,0.749,C1
0.735,0.505,C1
0.327,0.097,C1
0.623,0.392,C1
0.631,0.471,C1
0.723,0.212,C1
0.824,0.132,C1
0.365,0.067,C1
0.767,0.397,C1
0.938,0.13,C1
0.698,0.436,C1
0.949,0.446,C1
0.575,0.068,C1
0.654,0.304,C1
0.968,0.314,C1
0.243,0.141,C1
0.298,0.158,C1
0.579,0.099,C1
0.697,0.193,C1
0.761,0.457,C1
0.171,0.021,C1
0.683,0.258,C1
0.759,0.345,C1
0.598,0.277,C1
0.747,0.446,C1
0.343,0.135,C1
0.952,0.823,C1
0.704,0.269,C1
0.289,0.014,C1
0.744,0.407,C1
0.71,0.536,C1
0.418,0.25,C1
0.975,0.741,C1
0.05,0.296,C2
0.03,0.316,C2
0.685,0.762,C2
0.324,0.655,C2
0.942,0.969,C2
0.499,0.834,C2
0.178,0.891,C2
0.138,0.121,C2
0.897,0.847,C2
0.209,0.111,C2
0.288,0.467,C2
0.463,0.779,C2
0.037,0.742,C2
0.313,0.387,C2
0.531,0.69,C2
0.261,0.185,C2
0.18,0.967,C2
0.09,0.683,C2
0.29,0.93,C2
0.218,0.591,C2
0.701,0.847,C2
0.523,0.845,C2
0.048,0.72,C2
0.163,0.815,C2
0.466,0.604,C2
0.2,0.143,C2
0.519,0.944,C2
0.091,0.619,C2
0.564,0.572,C2
0.091,0.807,C2
0.141,0.871,C2
0.201,0.986,C2
0.334,0.244,C2
0.52,0.857,C2
0.444,0.746,C2
0.527,0.991,C2
0.498,0.936,C2
0.316,0.939,C2
0.956,0.929,C2
0.786,0.746,C2
0.27,0.587,C2
0.058,0.627,C2
0.196,0.481,C2
0.66,0.959,C2
0.452,0.522,C2
0.63,0.674,C2
0.566,0.689,C2
0.043,0.509,C2
0.119,0.753,C2
0.071,0.748,C2
0.337,0.765,C2
0.257,0.397,C2
0.671,0.886,C2
0.213,0.73,C2
0.034,0.586,C2
0.555,0.697,C2
0.168,0.54,C2
0.271,0.879,C2
0.11,0.076,C2
0.071,0.377,C2
0.169,0.64,C2
0.169,0.474,C2
0.31,0.762,C2
0.638,0.634,C2
0.668,0.906,C2
0.092,0.496,C2
0.863,0.893,C2
0.102,0.384,C2
0.166,0.976,C2
0.157,0.62,C2
0.145,0.435,C2
0.485,0.759,C2
0.394,0.313,C2
0.009,0.176,C2
0.425,0.685,C2
0.151,0.245,C2
0.638,0.789,C2
0.542,0.56,C2
0.428,0.969,C2
0.446,0.491,C2
0.231,0.396,C2
0.078,0.51,C2
0.34,0.834,C2
0.084,0.576,C2
0.14,0.084,C2
0.569,0.933,C2
0.681,0.958,C2
0.327,0.397,C2
0.766,0.939,C2
0.244,0.4,C2
0.491,0.572,C2
0.669,0.749,C2
0.256,0.249,C2
0.442,0.52,C2
0.257,0.209,C2
0.561,0.736,C2
0.444,0.52,C2
0.384,0.679,C2
0.446,0.541,C2
0.357,0.688,C2
0.076,0.879,C2
0.327,0.87,C2
0.055,0.315,C2
0.286,0.431,C2
0.821,0.741,C2
0.005,0.463,C2
0.036,0.92,C2
0.266,0.479,C2
0.906,0.815,C2
0.005,0.771,C2
0.07,0.971,C2
0.354,0.637,C2
0.732,0.943,C2
0.488,0.52,C2
0.763,0.832,C2
0.272,0.971,C2
0.44,0.587,C2
0.165,0.214,C2
0.727,0.828,C2
0.209,0.624,C2
0.079,0.774,C2
0.526,0.767,C2
